City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Ribeira Grande,PT,38.5167,-28.7,59.4,67,20,9.22,few clouds
177,Mahibadhoo,MV,3.7833,72.9667,80.82,72,100,6.33,overcast clouds
178,Gejiu,CN,23.306,103.1635,52.72,96,55,3.18,broken clouds
179,Surt,LY,31.2089,16.5887,68.2,60,40,16.31,light rain
180,Mecca,SA,21.4267,39.8261,77.76,65,5,4.88,clear sky
181,Puro,PH,12.4841,123.3827,78.58,80,8,8.59,clear sky
182,Saint-Pierre,RE,-21.3393,55.4781,73.08,60,0,3.44,clear sky
183,Yerbogachen,RU,61.2767,108.0108,-14.37,97,100,5.99,overcast clouds
184,Fairbanks,US,64.8378,-147.7164,12.6,87,100,0.0,overcast clouds
185,Belaya Gora,RU,68.5333,146.4167,-33.63,100,97,3.58,overcast clouds
186,San Juan,AR,-31.5375,-68.5364,102.31,12,0,13.24,clear sky
187,Bubaque,GW,11.2833,-15.8333,82.2,66,100,9.8,overcast clouds
188,Okha,RU,53.5739,142.9478,25.56,90,100,27.38,light snow
189,Bethel,US,41.3712,-73.414,55.02,46,0,7.0,clear sky
190,Bredasdorp,ZA,-34.5322,20.0403,57.97,71,17,5.44,few clouds
191,Sindor,RU,62.8629,51.8905,-6.84,100,18,1.95,few clouds
192,Opuwo,NA,-18.0607,13.84,78.75,24,21,6.24,few clouds
193,Tomatlan,MX,19.9333,-105.25,86.52,47,57,7.05,broken clouds
194,Anantapur,IN,14.6833,77.6,77.25,68,67,4.74,broken clouds
195,San Patricio,US,28.017,-97.5169,67.91,48,0,17.67,clear sky
196,Kloulklubed,PW,7.0419,134.2556,75.7,71,43,7.29,scattered clouds
197,Gap,FR,44.6667,6.0,23.83,78,34,5.77,scattered clouds
198,Katsuura,JP,35.1333,140.3,60.82,83,0,14.16,clear sky
199,Batticaloa,LK,7.7102,81.6924,77.9,81,59,0.89,broken clouds
200,Okhotsk,RU,59.3833,143.3,-6.09,87,23,19.73,few clouds
201,Pontes E Lacerda,BR,-15.2261,-59.3353,101.32,13,5,6.6,clear sky
202,Dingle,PH,10.9995,122.6711,73.98,92,18,6.87,few clouds
203,Sangmelima,CM,2.9333,11.9833,68.27,97,10,3.09,clear sky
204,Lekoni,GA,-1.5843,14.2591,71.44,90,100,2.62,overcast clouds
205,Tura,IN,25.5198,90.2201,60.71,82,0,3.22,clear sky
206,Griffith,US,41.5284,-87.4237,57.25,43,0,14.97,clear sky
207,Mar Del Plata,AR,-38.0023,-57.5575,72.82,93,75,12.66,mist
208,Lubaczow,PL,50.157,23.1234,35.51,96,97,4.85,overcast clouds
209,Kodiak,US,57.79,-152.4072,32.81,63,5,21.5,clear sky
210,Emba,KZ,48.8264,58.1442,18.86,64,81,17.54,broken clouds
211,Dhidhdhoo,MV,6.8833,73.1,80.28,71,100,4.52,overcast clouds
212,Sloboda,RU,51.1421,40.3021,35.01,90,100,12.19,overcast clouds
213,Jiaxing,CN,30.7522,120.75,65.01,85,99,12.35,overcast clouds
214,Codrington,AU,-38.2667,141.9667,53.92,80,100,12.3,overcast clouds
215,Qaanaaq,GL,77.484,-69.3632,1.58,96,100,3.98,overcast clouds
216,Narsaq,GL,60.9167,-46.05,23.36,75,87,6.85,overcast clouds
217,Kavaratti,IN,10.5669,72.642,81.16,73,95,7.02,overcast clouds
218,Samaca,CO,5.4927,-73.4854,60.19,78,100,0.11,overcast clouds
219,Pitimbu,BR,-7.4706,-34.8086,80.49,75,99,10.0,overcast clouds
220,Neftcala,AZ,39.3742,49.2472,56.05,82,8,11.07,clear sky
221,Klaksvik,FO,62.2266,-6.589,50.92,92,100,35.25,light rain
222,Los Andes,CL,-32.8337,-70.5983,92.01,30,0,10.45,clear sky
223,Joao Pinheiro,BR,-17.7425,-46.1725,83.14,45,25,5.46,scattered clouds
224,Carutapera,BR,-1.195,-46.02,83.44,63,79,8.43,broken clouds
225,Cayenne,GF,4.9333,-52.3333,78.84,89,75,8.05,broken clouds
226,Whitianga,NZ,-36.8333,175.7,63.39,80,40,9.86,scattered clouds
227,Belyy Yar,RU,53.6039,91.3903,-11.15,73,40,4.47,scattered clouds
228,Severo-Kurilsk,RU,50.6789,156.125,35.02,98,100,24.18,snow
229,Mehamn,NO,71.0357,27.8492,31.91,80,93,13.8,overcast clouds
230,Pinheiro Machado,BR,-31.5783,-53.3811,77.05,71,50,9.89,scattered clouds
231,Hervey Bay,AU,-25.2986,152.8535,75.25,76,34,10.63,scattered clouds
232,San Ramon,US,37.7799,-121.978,65.28,48,0,5.75,clear sky
233,La Ronge,CA,55.1001,-105.2842,24.08,83,88,6.8,overcast clouds
234,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.17,98,100,2.15,moderate rain
235,Mastic Beach,US,40.7668,-72.8521,56.03,46,0,11.5,clear sky
236,Arrecife,ES,28.963,-13.5477,69.78,83,20,12.66,few clouds
237,Ulladulla,AU,-35.35,150.4667,62.37,71,100,6.93,light rain
238,Pierre,US,44.3683,-100.351,52.05,51,0,23.02,clear sky
239,Parrita,CR,9.5201,-84.3225,87.26,81,83,5.12,broken clouds
240,Flin Flon,CA,54.7682,-101.865,22.28,78,87,9.82,overcast clouds
241,Lebu,CL,-37.6167,-73.65,63.28,70,0,17.63,clear sky
242,Dicabisagan,PH,17.0818,122.4157,77.77,85,70,3.29,broken clouds
243,Riyadh,SA,24.6877,46.7219,72.75,34,0,8.88,clear sky
244,Port Blair,IN,11.6667,92.75,79.25,82,100,6.22,overcast clouds
245,Airai,TL,-8.9266,125.4092,61.41,87,100,0.47,overcast clouds
246,Narrabri,AU,-30.3167,149.7833,68.52,60,91,1.99,overcast clouds
247,Kavieng,PG,-2.5744,150.7967,81.95,65,96,6.26,overcast clouds
248,Leningradskiy,RU,69.3833,178.4167,-7.15,91,100,1.95,overcast clouds
249,Terrasini,IT,38.146,13.0844,62.17,82,40,10.36,scattered clouds
250,Monroe,US,43.1501,-77.6831,55.65,38,0,17.27,clear sky
251,Yar-Sale,RU,66.8333,70.8333,5.88,90,100,7.85,overcast clouds
252,Tessalit,ML,20.1986,1.0114,73.18,17,89,8.9,overcast clouds
253,Cabedelo,BR,-6.9811,-34.8339,84.87,73,100,10.42,overcast clouds
254,Fushan,CN,37.4958,121.2581,45.3,76,57,11.01,broken clouds
255,Provideniya,RU,64.3833,-173.3,8.29,75,1,6.04,clear sky
256,Dikson,RU,73.5069,80.5464,11.82,98,97,8.14,overcast clouds
257,Pilar,BR,-9.5972,-35.9567,80.53,70,51,13.76,broken clouds
258,Taoudenni,ML,22.6783,-3.9836,77.07,19,76,9.55,broken clouds
259,Ogulin,HR,45.2661,15.2286,36.61,97,100,4.47,overcast clouds
260,Haines Junction,CA,60.7522,-137.5108,15.87,87,100,4.99,overcast clouds
261,Hami,CN,42.8,93.45,33.78,38,100,14.32,overcast clouds
262,Anchorage,US,61.2181,-149.9003,19.63,88,15,3.0,few clouds
263,Portland,US,45.5234,-122.6762,48.18,90,100,5.01,overcast clouds
264,Nara,JP,34.6851,135.8049,52.5,74,8,4.03,clear sky
265,Inhambane,MZ,-23.865,35.3833,75.56,85,100,3.94,light rain
266,Vestmannaeyjar,IS,63.4427,-20.2734,39.92,81,70,13.71,broken clouds
267,Vardo,NO,70.3705,31.1107,31.98,80,20,37.98,few clouds
268,Mount Gambier,AU,-37.8333,140.7667,53.44,77,98,6.64,overcast clouds
269,Mount Isa,AU,-20.7333,139.5,76.77,61,39,0.0,scattered clouds
270,Vagur,FO,61.4732,-6.8119,50.13,91,100,31.54,light rain
271,Jejuri,IN,18.2833,74.1667,76.26,61,100,3.49,overcast clouds
272,Wucheng,CN,29.6008,118.175,57.79,93,100,3.15,overcast clouds
273,Fenoarivo,MG,-18.933,47.4354,60.87,88,20,6.91,few clouds
274,Le Havre,FR,49.4938,0.1077,50.92,87,100,16.11,light rain
275,Solnechnyy,RU,50.7214,136.6319,7.66,92,93,4.43,overcast clouds
276,Berdigestyakh,RU,62.0989,126.6992,-46.39,100,62,1.36,broken clouds
277,Businga,CD,3.3333,20.8833,72.3,96,100,2.62,overcast clouds
278,Sitka,US,57.0531,-135.33,35.49,93,75,3.44,light snow
279,Malpe,IN,13.35,74.7167,78.1,90,21,4.41,few clouds
280,Roald,NO,62.5833,6.1333,52.72,54,0,11.5,clear sky
281,Pangnirtung,CA,66.1451,-65.7125,5.0,56,75,5.75,broken clouds
282,Port-Gentil,GA,-0.7193,8.7815,75.16,94,20,2.3,few clouds
283,Whitehorse,CA,60.7161,-135.0538,21.97,85,75,8.05,light snow
284,San Felipe,VE,10.3399,-68.7425,79.83,79,95,7.34,overcast clouds
285,Souillac,MU,-20.5167,57.5167,74.41,68,14,11.59,few clouds
286,Zomergem,BE,51.1277,3.5553,46.31,82,100,14.52,overcast clouds
287,Grand Island,US,40.925,-98.342,60.75,25,0,13.8,clear sky
288,Walvis Bay,NA,-22.9575,14.5053,58.08,85,1,13.89,clear sky
289,Lakes Entrance,AU,-37.8811,147.981,59.88,83,23,7.52,few clouds
290,Lompoc,US,34.6391,-120.4579,76.01,46,0,13.8,clear sky
291,Naze,JP,28.3667,129.4833,65.88,69,100,12.95,overcast clouds
292,Saldanha,ZA,-33.0117,17.9442,62.51,72,0,30.0,clear sky
293,Abapo,BO,-18.8333,-63.4667,97.2,11,0,10.69,clear sky
294,Coquimbo,CL,-29.9533,-71.3436,67.73,68,20,12.66,few clouds
295,Stolin,BY,51.8912,26.846,27.84,96,96,2.95,overcast clouds
296,Waingapu,ID,-9.6567,120.2641,77.16,87,100,2.95,moderate rain
297,Mankono,CI,8.0586,-6.1897,78.22,34,5,2.73,clear sky
298,Eyl,SO,7.9803,49.8164,78.4,78,27,14.63,scattered clouds
299,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,100.9,10,1,10.8,clear sky
300,Pandan,PH,14.0453,124.1694,78.76,75,47,9.31,scattered clouds
301,Liverpool,GB,53.4106,-2.9779,54.28,88,75,21.85,broken clouds
302,Srednekolymsk,RU,67.45,153.6833,-36.49,100,83,2.98,broken clouds
303,Gunjur,GM,13.2019,-16.7339,73.47,64,100,2.3,overcast clouds
304,Wanning,CN,18.8003,110.3967,76.86,90,61,3.89,broken clouds
305,Salalah,OM,17.0151,54.0924,75.29,78,0,4.61,clear sky
306,Isangel,VU,-19.55,169.2667,77.34,84,55,6.4,broken clouds
307,Margate,GB,51.3813,1.3862,53.91,86,100,8.01,overcast clouds
308,Aquiraz,BR,-3.9014,-38.3911,82.49,70,100,11.39,overcast clouds
309,Ambon,ID,-3.6954,128.1814,77.23,15,40,5.75,scattered clouds
310,Sainte-Anne-Des-Monts,CA,49.124,-66.4924,31.23,86,99,10.74,overcast clouds
311,Itarema,BR,-2.9248,-39.9167,81.46,72,100,16.31,overcast clouds
312,Omsk,RU,55.0,73.4,-11.11,69,0,2.24,clear sky
313,Sicamous,CA,50.8331,-118.9856,37.18,87,64,4.59,broken clouds
314,Rio Gallegos,AR,-51.6226,-69.2181,69.85,16,20,21.85,few clouds
315,Chippewa Falls,US,44.9369,-91.3929,57.97,38,0,14.97,clear sky
316,Bac Lieu,VN,9.285,105.7244,77.13,89,94,4.68,overcast clouds
317,Markha,RU,62.1053,129.7269,-40.04,67,100,2.24,fog
318,Volksrust,ZA,-27.3654,29.8818,53.53,96,100,6.42,heavy intensity rain
319,Siderno,IT,38.2779,16.302,57.34,94,100,17.05,overcast clouds
320,Lasa,IT,46.6166,10.7002,32.68,68,16,3.96,few clouds
321,Norman Wells,CA,65.282,-126.8329,10.2,95,100,8.7,light snow
322,Lucea,JM,18.451,-78.1736,85.86,72,22,13.76,few clouds
323,Yarkovo,RU,57.4028,67.0786,-8.03,94,6,4.41,clear sky
324,Zhigansk,RU,66.7697,123.3711,-35.86,97,99,8.21,overcast clouds
325,Serrinha,BR,-11.6642,-39.0075,80.85,62,100,4.52,heavy intensity rain
326,Antofagasta,CL,-23.65,-70.4,67.28,73,37,9.17,scattered clouds
327,Yangliuqing,CN,39.1375,116.9997,35.55,35,100,6.2,overcast clouds
328,Edendale,ZA,-29.6528,30.3147,60.87,99,100,0.67,heavy intensity rain
329,Kyra,RU,49.5776,111.9753,1.63,97,100,2.93,overcast clouds
330,Tallahassee,US,30.4383,-84.2807,70.68,92,100,6.91,overcast clouds
331,Mirnyy,RU,62.5353,113.9611,-18.49,92,100,2.48,overcast clouds
332,Luderitz,NA,-26.6481,15.1594,62.91,67,0,26.69,clear sky
333,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,74,100,6.13,overcast clouds
